,,,,,Ingredient Preferences,,,,Allergens,,,,,,,,Skin type,,,,Suitable for sensitive skin,,,,,,Suitable (for acne-prone),,,,,,,Skin concern,,,,,,,,,,,,,,,,,,,,,,,,,,,Benefit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Age range,,,,,
Ingredient name,PubChem CID,INCI name,INCI number,CAS Number,Vegetarian,Vegan,Gluten-free,Paleo,Nut-free,Soy-free,Latex-free,Sesame-free,Citrus-free,Dye-free,Fragrance-free,Scent-free,Normal,Dry,Oily,Combination,Not sensitive,A little sensitive,Moderately sensitive,Sensitive,Very sensitive,Extremely sensitive,Not acne prone,A little acne-prone,Moderately acne-prone,Acne-prone,Very acne-prone,Extremely acne-prone,Suitable for mature skin,Acne,Rosacea,Cystic Acne,Hyperpigmentation,Melasma,Xerosis,Dryness,Redness,Oiliness,Signs of Aging,Dark Spots,Sensitive skin,Dullness,Uneven skin tone,Wrinkles,Fine lines,Loss of Elasticity/firmness,Damaged skin,Visible pores,"Clogged pores, blackheads",Uneven texture,Eczema,Psoriasis,Dermatitis,Sunburned skin,Dark circles,Blemishes,Moisturizing,Nourishing,Hydrating,Exfoliating,Calming,Soothing,UV-barrier,Healing,Smoothing,Reduces acne,Reduces blemishes,Reduces wrinkles,Improves symptoms of eczema,Improves symptoms of psoriasis,Improves symptoms of dermatitis,Brightening,Improves skin tone,Reduces inflammation,Minimizes pores,Anti-aging,Firming,Detoxifying,Balancing,Reduces redness,Clarifying,Anti-bacterial,Stimulates collagen production,Reduces fine lines,Antioxidant Protection,Skin Barrier Protection,Teen,20s,30s,40s,50s,60+
Tetrahexyldecyl Ascorbate (Vitamin C),5569391,Tetrahexyldecyl Ascorbate,-,183476-82-6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,4,3,2,1,5,5,4,4,3,2,Yes,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Tocotrienol (Vitamin E),5282349,Tocotrienol,-,52225-20-4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,4,3,2,1,5,5,4,4,3,2,Yes,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Grapeseed Oil (Vitis Vinifera Seed Oil),9891491,Vitis Vinifera (Grape) Seed Oil,289-752-0,8024-22-4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,No
Hibiscus Water,-,Hibiscus Sabdariffa Flower Extract,-,233674-98-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,1,3,5,5,5,4,3,2,5,5,4,4,3,2,Yes,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Rosa rugosa,-,Rosa Rugosa Flower Extract,-,223748-76-2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,0,3,5,5,4,3,2,1,5,5,4,4,3,2,Yes,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,Yes,Yes
Sea Buckthorn,5280937,Hippophae Rhamnoides Oil,283-939-1,90106-68-6,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,Yes,Yes
St. John's Wort,58434,Hypericum Perforatum Extract,-,84082-80-4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,4,3,2,1,0,4,3,2,2,1,0,Yes,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,Yes,Yes
Coffee Butter,-,Coffea Arabica (Coffee) Seed Oil,-,68916-18-1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,0,,5,5,5,4,3,2,4,3,2,2,1,0,Yes,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Colloidal Oatmeal,10320444,Colloidal Oatmeal,201-673-3,134134-87-5,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,5,4,3,2,5,5,4,4,3,2,Yes,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Distilled Water,962,Aqua (Water),231-791-2,7732-18-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Hazelnut Oil (Corylus Avellana Seed Oil),10466,Corylus Avellana Seed Oil,283-652-0,84012-21-5,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,No,No
Vegetable Glycerin,753,Glycerin,200-289-5,56-81-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,5,4,3,2,5,5,4,4,3,2,Yes,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Fresh orange blossoms,-,Citrus Aurantium Dulcis Flower Water,-,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,3,3,0,3,5,5,5,4,3,2,5,5,4,4,3,2,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,No,No,No
Mango Butter (Mangifera Indica Seed Butter),5280893,Mangifera Indica Seed Butter,-,90063-86-8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Organic Calophyllum Tacamahaca (Tamanu) Seed Oil,442171,Calophyllum Inophyllum Seed Oil,-,223748-12-7,Yes,Yes,Yes,Yes,,No,Yes,Yes,Yes,Yes,Yes,No,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Organic Jojoba Oil (Simmondsia chinensis),91745,Simmondsia Chinensis Seed Oil,289-964-3,61789-91-1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Organic Jojoba Oil,91745,Simmondsia Chinensis Seed Oil,289-964-3,61789-91-1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Organic Opuntia Ficus Indica (Prickly Pear) Seed Oil,5281231,Opuntia Ficus-Indica Seed Oil,-,223749-05-1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,Yes,Yes
Organic Shea Butter (Butyrospermum Parkii Butter) ,71308791,Butyrospermum Parkii Butter,-,91080-23-8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Organic Shea Butter,71308791,Butyrospermum Parkii Butter,-,91080-23-8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Rose Hip (Rosa Canina),5280343,Rosa Canina Fruit Oil,-,84696-47-9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Ammonium Bicarbonate,14013,Ammonium Bicarbonate,213-911-5,1066-33-7,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0,0,4,3,2,1,0,0,1,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Aqua (Water),962,Aqua (Water),231-791-2,7732-18-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Ascorbyl Glucoside,54676868,Ascorbyl Glucoside,-,129499-78-1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,4,3,2,1,5,5,4,4,3,2,Yes,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Cetearyl Ethylhexanoate,1186,Cetearyl Ethylhexanoate,-,91052-16-3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,4,3,2,1,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Citrus Aurantium Dulcis (Orange) Flower Oil,6433434,Citrus Aurantium Dulcis Flower Oil,232-433-8,68916-04-01,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,1,0,3,1,4,3,2,1,0,0,3,2,1,1,0,0,Yes,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Citrus Grandis (Grapefruit) Peel Oil,4425038,Citrus Grandis Peel Oil,232-433-8,8016-20-4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,1,0,3,1,4,3,2,1,0,0,3,2,1,1,0,0,Yes,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Citrus Nobilis(Mandarin Orange) Peel Oil,5281647,Citrus Nobilis Peel Oil,232-434-9,68917-33-9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,1,0,3,1,4,3,2,1,0,0,3,2,1,1,0,0,Yes,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Citrus Tangerina (Tangerine) Peel Oil,6433560,Citrus Tangerina Peel Oil,232-434-9,8016-85-1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,1,0,3,1,4,3,2,1,0,0,3,2,1,1,0,0,Yes,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Diglucosyl Gallic Acid,45169555,Diglucosyl Gallic Acid,-,154589-66-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,4,3,2,1,5,5,4,4,3,2,Yes,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,Yes,Yes
Glucose,5793,Glucose,200-075-1,50-99-7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,4,3,2,1,5,5,4,4,3,2,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Glycogen,439184,Glycogen,-,9005-79-2,Yes,Yes/No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,5,4,3,2,5,5,4,4,3,2,Yes,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Hippophaë Rhamnoides Oil,159125,Hippophaë Rhamnoides Oil,-,225234-03-7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Lauryl Laurate,10944,Lauryl Laurate,-,13945-76-1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,4,3,2,1,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Magnesium Ascorbyl Phosphate,54676862,Magnesium Ascorbyl Phosphate,-,114040-31-2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,4,3,2,1,0,0,5,5,4,4,3,2,Yes,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Parfum* (Fragrance),-,Fragrance,-,-,Yes/No,Yes/No,No,Yes/No,Yes,Yes,Yes,Yes,Yes/No,Yes/No,No,No,0,0,0,0,5,5,4,3,2,1,1,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No
Sodium Hydroxide,14798,Sodium Hydroxide,215-185-5,1310-73-2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0,0,4,3,2,1,0,0,1,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Tapioca Starch,1125,Tapioca Starch,-,9005-25-8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,4,3,2,1,4,3,2,2,1,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
(Organic) apple cider vinegar,101,Apple Cider Vinegar,-,8028-52-2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,0,3,1,4,3,2,1,0,0,3,2,1,1,0,0,Yes,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,No,No,No
(Organic) lavender essential oil,6549,Lavender Oil,232-453-7,8000-28-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,0,3,1,4,3,2,1,0,0,3,2,1,1,0,0,Yes,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
(Organic) lemon essential oil,6150,Lemon Oil,232-433-8,8008-56-8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,1,0,3,1,4,3,2,1,0,0,3,2,1,1,0,0,Yes,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,No,No,No
(Organic) tea tree essential oil,14803,Melaleuca Alternifolia Leaf Oil,285-377-1,68647-73-4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,0,3,1,4,3,2,1,0,0,4,3,2,2,1,0,Yes,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,No,No,No
(Organic) witch hazel,8421,Witch Hazel,283-637-9,84696-19-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,4,3,2,1,0,5,5,4,4,3,2,Yes,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Yes,Yes,Yes,Yes,No,No
Cetyl Palmitate,10073,Cetyl Palmitate,203-107-3,0540-10-3,Yes,Yes/No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,4,3,2,1,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Eugenol,3314,Eugenol,202-589-1,97-53-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,0,0,0,4,3,2,1,0,0,2,1,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Fragrance (Parfum),-,Fragrance,-,-,Yes/No,Yes/No,No,Yes/No,Yes,Yes,Yes,Yes,Yes/No,Yes/No,No,No,0,0,0,0,4,3,2,1,0,0,1,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No
Glyceryl Myristate,1561,Glyceryl Myristate,211-254-7,25496-72-4,Yes,Yes/No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,4,3,2,1,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Hydrogenated Polyisobutene,88322,Hydrogenated Polyisobutene,-,68937-10-0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,4,3,2,1,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Potassium Cetyl Phosphate,16180,Potassium Cetyl Phosphate,239-944-2,19035-79-1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,5,4,3,2,1,0,4,3,2,2,1,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Potassium Sorbate,12426,Potassium Sorbate,246-376-1,24634-61-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0,0,4,3,2,1,0,0,1,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
